"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","AND","Andorra","2019","2019",0.27741,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","JPN","Japan","2019","2019",0.11958,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","BRA","Brazil","2019","2019",1.52286,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","TUR","Türkiye","2019","2019",1.97335,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CHL","Chile","2019","2019",,"a","Category not applicable"
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","CZE","Czechia","2019","2019",0.70535,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","BRB","Barbados","2019","2019",1.18467,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","GTM","Guatemala","2019","2019",1.82618,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","MUS","Mauritius","2019","2019",0.31973,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","SEN","Senegal","2019","2019",1.5272,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","URY","Uruguay","2019","2019",1.56947,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","ABW","Aruba","2019","2019",0.42884,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","GMB","Gambia","2019","2019",0.2418,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ZAF","South Africa","2019","2019",1.75993,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ATG","Antigua and Barbuda","2019","2019",0.17816,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CPV","Cabo Verde","2019","2019",0.02218,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2019","2019",0.90174,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","SMR","San Marino","2019","2019",0.73096,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","CRI","Costa Rica","2019","2019",1.27101,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","BTN","Bhutan","2019","2019",0.67018,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MDA","Republic of Moldova","2019","2019",1.38519,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","HUN","Hungary","2019","2019",0.78443,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SLV","El Salvador","2019","2019",0.37287,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","BGD","Bangladesh","2019","2019",0.40523,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","JPN","Japan","2019","2019",0.64047,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","DEU","Germany","2019","2019",2.03389,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","LKA","Sri Lanka","2019","2019",,"n","Magnitude nil or negligible"
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2019","2019",0.86513,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","CMR","Cameroon","2019","2019",1.71885,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KGZ","Kyrgyzstan","2019","2019",0.17929,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","POL","Poland","2019","2019",0.72638,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","GTM","Guatemala","2019","2019",0.42906,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","EGY","Egypt","2019","2019",1.07476,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","DNK","Denmark","2019","2019",1.07948,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","DZA","Algeria","2019","2019",,"a","Category not applicable"
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","DOM","Dominican Republic","2019","2019",0.37043,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","SLE","Sierra Leone","2019","2019",0.8672,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ALB","Albania","2019","2019",0.73389,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CHN","China","2019","2019",0.20354,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","UKR","Ukraine","2019","2019",1.34505,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","MCO","Monaco","2019","2019",0.15255,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","IND","India","2019","2019",1.33203,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GRC","Greece","2019","2019",0.01476,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","BEL","Belgium","2019","2019",2.53937,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","TTO","Trinidad and Tobago","2019","2019",1.02673,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","VUT","Vanuatu","2019","2019",0.47601,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","CZE","Czechia","2019","2019",0.91455,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","EST","Estonia","2019","2019",0.08282,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","KOR","Republic of Korea","2019","2019",,"a","Category not applicable"
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","JAM","Jamaica","2019","2019",0.9199,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","LCA","Saint Lucia","2019","2019",1.13035,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","CYP","Cyprus","2019","2019",1.14128,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","BLZ","Belize","2019","2019",2.28046,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2019","2019",,"n","Magnitude nil or negligible"
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","PRT","Portugal","2019","2019",2.09756,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","HND","Honduras","2019","2019",,"a","Category not applicable"
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","SMR","San Marino","2019","2019",1.23322,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2019","2019",0.40586,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","BRA","Brazil","2019","2019",1.07555,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","ISR","Israel","2019","2019",1.88496,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CHE","Switzerland","2019","2019",1.32684,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","JPN","Japan","2019","2019",0.64234,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","HKG","China, Hong Kong Special Administrative Region","2019","2019",0.75759,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","CHL","Chile","2019","2019",1.61112,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","TLS","Timor-Leste","2019","2019",2.52833,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","JOR","Jordan","2019","2019",0.38124,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","USA","United States of America","2019","2019",0.33639,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MRT","Mauritania","2019","2019",0.89236,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","LTU","Lithuania","2019","2019",1.02528,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","AND","Andorra","2019","2019",0.52189,,
